Id,Outcome
1647,2
1562,0
2728,0
3630,0
3926,1
364,0
1687,0
2938,0
1981,0
3982,0
2385,0
2985,0
3886,0
1114,0
1126,0
3393,3
3284,3
627,0
3958,0
1269,3
972,0
367,0
3388,1
487,0
704,2
51,0
1765,3
2987,0
287,0
422,0
3371,0
2761,0
2283,1
1591,0
3054,0
3268,0
994,3
1622,0
2377,0
3568,0
2785,0
842,2
1082,0
2270,0
1566,0
3697,0
2998,0
3043,0
1763,0
684,0
3250,0
2194,0
3573,0
1382,0
1503,0
3575,0
1822,0
2793,0
64,1
1937,0
1344,0
620,0
589,2
3655,0
1490,0
126,0
1413,0
527,1
418,2
2396,1
2271,3
2616,3
3356,0
1501,1
2323,0
88,0
2712,0
3139,0
743,1
3430,0
2312,0
1941,0
283,0
2920,1
2223,0
2244,0
3293,0
1660,0
384,0
3392,3
2878,1
982,0
1492,0
1100,2
3653,0
2450,0
2460,0
264,0
1953,0
3777,0
20,0
2049,0
2090,2
3389,0
291,0
33,0
3417,0
247,0
3170,1
1639,0
281,2
1448,0
2503,0
916,0
2593,0
2402,0
3287,0
8,2
427,3
1676,2
2247,1
2372,0
2875,1
857,0
374,1
2577,1
2142,1
2083,1
2758,0
448,2
416,1
3009,1
1858,0
2709,1
612,1
3533,1
78,1
1645,0
3017,1
1818,1
1381,1
378,0
920,0
289,1
1767,0
1223,1
1761,1
3267,0
3063,1
3457,1
852,1
1511,1
294,1
2481,3
3121,1
1440,2
831,1
3923,0
1255,1
3868,1
3498,1
1925,3
184,1
3367,3
1522,1
968,0
3614,1
1357,1
453,1
1499,1
268,1
2316,3
2357,0
969,0
3840,1
1802,3
203,1
1557,1
537,1
1053,1
3220,1
304,1
2926,1
1855,3
185,1
2652,1
359,1
625,1
3258,2
2098,1
3705,1
209,1
3767,1
3131,1
2313,0
3036,1
3360,1
3583,1
3316,1
3969,1
2986,1
2306,0
1825,1
2651,3
488,1
2701,0
2340,0
2961,1
2036,1
766,1
405,1
3114,1
2236,1
2596,0
528,1
1199,1
836,1
2441,1
1869,1
3826,1
689,1
2694,1
3339,1
2366,1
2569,1
138,3
919,1
2350,1
1204,3
3733,2
2699,1
3057,1
3169,1
3020,1
1076,1
226,1
596,0
701,3
2130,0
2845,3
3853,1
856,2
3599,2
3682,2
727,0
587,2
3208,3
1814,2
3952,3
1728,3
960,2
1215,2
1571,2
144,0
1115,2
1975,2
3161,2
191,2
3008,2
1670,2
1505,2
860,2
3795,0
1129,2
505,2
1094,2
1336,2
3643,0
2934,2
53,0
285,2
1588,2
220,0
2210,2
1160,2
2743,2
990,0
3276,2
3019,2
3292,2
1149,2
548,2
2427,2
2154,2
3604,2
1667,2
1299,2
2966,0
646,2
1819,3
2423,3
1891,3
2185,3
2434,2
2408,2
2822,2
941,2
2943,2
1504,2
2012,3
2538,2
2937,2
2600,2
1095,2
2171,2
1302,3
2186,2
3243,3
3261,3
973,2
1380,2
2403,2
3254,2
2179,0
1355,2
2045,2
2302,2
803,0
1029,2
1014,2
308,2
1189,2
2808,2
1152,2
1646,2
3836,0
2554,2
3835,1
3994,2
1964,0
729,2
3459,1
3315,1
1689,1
1885,3
1726,1
1242,2
193,2
2568,2
1080,2
1296,2
2319,2
2113,2
3828,2
2706,2
716,2
1629,2
3282,2
2970,2
1650,2
731,0
1907,2
1881,2
3794,2
3068,2
3896,1
3157,3
683,2
2100,2
65,2
3650,2
2657,3
499,1
999,3
270,3
3469,3
490,3
2224,0
2816,3
3449,1
2992,3
1079,3
1276,0
3128,1
3770,3
938,3
1391,2
895,3
1549,3
3873,3
262,3
2220,3
1060,3
3689,3
1395,3
114,3
2233,2
2500,3
1643,3
3553,3
2429,1
2744,3
2002,3
2805,3
61,1
215,0
271,3
1939,3
1773,0
2128,0
2989,3
1910,3
163,3
379,3
3071,3
1903,3
737,0
3078,3
2735,3
3731,2
3779,3
1241,3
2047,3
3410,1
1746,2
3005,3
3647,1
666,3
1293,3
1579,3
1554,2
80,3
2173,3
3212,3
2667,3
1929,3
3845,3
2405,0
204,2
2453,2
1827,3
921,3
2345,3
744,3
545,2
3347,1
3006,3
2518,0
3559,3
3010,3
543,1
1052,3
2487,3
2172,3
1491,3
3742,3
762,3
1951,2
2184,3
3000,3
2369,3
974,2
2681,0
806,0
113,3
1985,3
3782,3
632,1
235,3
2897,0
3999,3
3026,2
664,3
2482,3
725,3
3159,3
2019,3
3796,3
1337,3
3730,1
3980,3
155,3
3954,0
1010,3
877,3
3273,0
2606,3
2148,3
1843,2
3124,3
